Company Name,Sector,Profits in USD,AI Benefits,Ticker,Profit 2022,Profit 2024,Profit Change
Bristol-Myers Squibb Company, Healthcare,145991,"Drug discovery, diagnostics optimization",BMY,6327000000.0,8025000000.0,1698000000.0
CNF Inc.,Transportation,404826,Fleet routing and demand forecasting optimization,A,1254000000.0,1240000000.0,-14000000.0
Coca-Cola Co.,Food and Beverage,668971,Demand forecasting and marketing optimization,COKE,430158000.0,408375000.0,-21783000.0
Colgate-Palmolive Co.,Consumer Goods,693824,Marketing optimization and product development,CL,1785000000.0,2300000000.0,515000000.0
Comcast Corp.,Telecommunications,303173,Customer analytics and network optimization,CMCSA,5370000000.0,15388000000.0,10018000000.0
Comdisco Inc.,Technology,4877771,IT process automation and predictive analytics,A,1254000000.0,1240000000.0,-14000000.0
Comerica Inc.,Banking,305649,Fraud detection and investment analytics,CMA,1151000000.0,881000000.0,-270000000.0
Comfort Systems USA Inc.,Construction,206018,Project planning and scheduling optimization,FIX,245947000.0,323398000.0,77451000.0
Commercial Metals Co.,Metals,657316,Predictive maintenance and demand forecasting,CMC,1217262000.0,859760000.0,-357502000.0
Community Health Systems Inc.,Healthcare,920445,Patient flow optimization and diagnostics assistance,CYH,46000000.0,-133000000.0,-179000000.0
Computer Associates International Inc.,Technology,3740787,Process automation and AI security,A,1254000000.0,1240000000.0,-14000000.0
Concord EFS Inc.,Financial Services,906548,Fraud detection and transaction analytics,A,1254000000.0,1240000000.0,-14000000.0
Conectiv Inc,Energy,201229,Grid diagnostics and predictive maintenance,A,1254000000.0,1240000000.0,-14000000.0
Conoco Inc,Oil and Gas,585522,Exploration optimization and predictive equipment maintenance,A,1254000000.0,1240000000.0,-14000000.0
Conseco Inc.,Insurance,322017,Claims automation and actuarial analytics,A,1254000000.0,1240000000.0,-14000000.0
Consolidated Edison Inc.,Energy,803343,Infrastructure monitoring and demand forecasting,ED,1660000000.0,2519000000.0,859000000.0
Constellation Brands Inc.,Consumer Goods  ,138494,Marketing optimization and demand forecasting,STZ,-40400000.0,-71000000.0,-30600000.0
Corning Inc.,Manufacturing,219682,Predictive maintenance and process optimization,GLW,1316000000.0,581000000.0,-735000000.0
Crane Co.,Manufacturing,940194,Predictive maintenance and quality control automation,CR,401100000.0,255900000.0,-145200000.0
CSX Corp.,Transportation  ,734734,Fleet optimization and demand forecasting,CSX,4114000000.0,3668000000.0,-446000000.0
Cummins Inc.,Manufacturing,185827,Predictive maintenance and design optimization,CMI,2151000000.0,735000000.0,-1416000000.0
Cytec Industries Inc.,Chemicals,714505,Process optimization and predictive maintenance,ASTE,-100000.0,33500000.0,33600000.0
